timestamp,signal,momentum_score,confirmation_score,gross_edge,cost
2026-09-25T00:00:00Z,0.8,1,1,0.0010,0.0001
2026-09-25T00:01:00Z,0.2,-1,-1,0.0015,0.0001
2026-09-25T00:02:00Z,0.2,1,1,0.0020,0.0001
2026-09-25T00:03:00Z,0.8,-1,-1,0.0025,0.0001
2026-09-25T00:04:00Z,0.2,1,1,0.0030,0.0001
2026-09-25T00:05:00Z,0.2,-1,-1,0.0010,0.0001
2026-09-25T00:06:00Z,0.8,1,1,0.0015,0.0001
2026-09-25T00:07:00Z,0.2,-1,-1,0.0020,0.0001
2026-09-25T00:08:00Z,0.2,1,1,0.0025,0.0001
2026-09-25T00:09:00Z,0.8,-1,-1,0.0030,0.0001
2026-09-25T00:10:00Z,0.2,1,1,0.0010,0.0001
2026-09-25T00:11:00Z,0.2,-1,-1,0.0015,0.0001
2026-09-25T00:12:00Z,0.8,1,1,0.0020,0.0001
2026-09-25T00:13:00Z,0.2,-1,-1,0.0025,0.0001
2026-09-25T00:14:00Z,0.2,1,1,0.0030,0.0001
2026-09-25T00:15:00Z,0.8,-1,-1,0.0010,0.0001
2026-09-25T00:16:00Z,0.2,1,1,0.0015,0.0001
2026-09-25T00:17:00Z,0.2,-1,-1,0.0020,0.0001
2026-09-25T00:18:00Z,0.8,1,1,0.0025,0.0001
2026-09-25T00:19:00Z,0.2,-1,-1,0.0030,0.0001
2026-09-25T00:20:00Z,0.2,1,1,0.0010,0.0001
2026-09-25T00:21:00Z,0.8,-1,-1,0.0015,0.0001
2026-09-25T00:22:00Z,0.2,1,1,0.0020,0.0001
2026-09-25T00:23:00Z,0.2,-1,-1,0.0025,0.0001
2026-09-25T00:24:00Z,0.8,1,1,0.0030,0.0001
2026-09-25T00:25:00Z,0.2,-1,-1,0.0010,0.0001
2026-09-25T00:26:00Z,0.2,1,1,0.0015,0.0001
2026-09-25T00:27:00Z,0.8,-1,-1,0.0020,0.0001
2026-09-25T00:28:00Z,0.2,1,1,0.0025,0.0001
2026-09-25T00:29:00Z,0.2,-1,-1,0.0030,0.0001
2026-09-25T00:30:00Z,0.8,1,1,0.0010,0.0001
2026-09-25T00:31:00Z,0.2,-1,-1,0.0015,0.0001
2026-09-25T00:32:00Z,0.2,1,1,0.0020,0.0001
2026-09-25T00:33:00Z,0.8,-1,-1,0.0025,0.0001
2026-09-25T00:34:00Z,0.2,1,1,0.0030,0.0001
2026-09-25T00:35:00Z,0.2,-1,-1,0.0010,0.0001
2026-09-25T00:36:00Z,0.8,1,1,0.0015,0.0001
2026-09-25T00:37:00Z,0.2,-1,-1,0.0020,0.0001
2026-09-25T00:38:00Z,0.2,1,1,0.0025,0.0001
2026-09-25T00:39:00Z,0.8,-1,-1,0.0030,0.0001
